epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4953,1.22647,1.22662,1.14051,0.96442,0.9137,0.94848,0.62274,1.19382,0.62795,1.09896,0.00332579,0.00332579,0.00332579
2,120.736,1.18855,0.67052,1.09452,0.91741,0.88428,0.92615,0.60096,1.21394,0.71022,1.17368,0.0065932,0.0065932,0.0065932
3,180.599,1.24068,0.74942,1.1314,0.92859,0.86494,0.91285,0.57979,1.25314,0.75325,1.1899,0.00979461,0.00979461,0.00979461
4,239.845,1.26836,0.7735,1.16353,0.92568,0.85513,0.89861,0.57053,1.30955,0.78561,1.24733,0.009703,0.009703,0.009703
5,298.967,1.22982,0.72473,1.14943,0.94122,0.89729,0.92729,0.60402,1.22058,0.7215,1.17218,0.009604,0.009604,0.009604
6,358.089,1.21587,0.69036,1.15164,0.95473,0.87699,0.92622,0.6066,1.22369,0.70089,1.16358,0.009505,0.009505,0.009505
7,417.139,1.21214,0.6777,1.15197,0.96838,0.90678,0.94463,0.64286,1.17243,0.60088,1.13466,0.009406,0.009406,0.009406
8,475.317,1.1827,0.65262,1.13013,0.97108,0.9025,0.94769,0.63615,1.18014,0.59937,1.13653,0.009307,0.009307,0.009307
9,533.592,1.17563,0.63348,1.12086,0.9752,0.92073,0.96021,0.65177,1.15981,0.56417,1.11766,0.009208,0.009208,0.009208
10,591.592,1.15999,0.61742,1.12081,0.96196,0.88018,0.9313,0.62072,1.22007,0.61927,1.13758,0.009109,0.009109,0.009109
11,649.144,1.15599,0.61421,1.11191,0.9712,0.91708,0.96094,0.66246,1.15549,0.5283,1.11316,0.00901,0.00901,0.00901
12,706.76,1.15227,0.60745,1.10273,0.9724,0.9221,0.95804,0.6594,1.13917,0.53037,1.10718,0.008911,0.008911,0.008911
13,764.244,1.13522,0.58021,1.10122,0.97162,0.92756,0.96104,0.66464,1.1384,0.52716,1.10314,0.008812,0.008812,0.008812
14,821.931,1.13411,0.58415,1.10064,0.97884,0.92255,0.9626,0.66533,1.11898,0.53052,1.09524,0.008713,0.008713,0.008713
15,879.691,1.13265,0.57389,1.09729,0.97281,0.92847,0.96014,0.66686,1.12024,0.5145,1.09126,0.008614,0.008614,0.008614
16,937.181,1.12245,0.56625,1.08941,0.97889,0.92346,0.96296,0.67793,1.1009,0.49884,1.08511,0.008515,0.008515,0.008515
17,994.752,1.12152,0.55885,1.0872,0.9788,0.92553,0.96525,0.67519,1.12757,0.50266,1.09383,0.008416,0.008416,0.008416
